n,0.001,0.01,0.1
1, 0.0020000000000000018, 0.020000000000000018, 0.19999999999999996, 
2, 5.996000000001601e-06, 0.0005960000000000167, 0.05599999999999994, 
3, 1.997001197080942e-08, 1.9701200000006255e-05, 0.01711999999999987, 
4, 6.983207919880746e-11, 6.833396001078446e-07, 0.005455999999999978, 
5, 2.511475898522153e-13, 2.437073723615223e-08, 0.0017818399999998246, 
6, 9.223941733493397e-16, 8.850868445344931e-10, 0.0005914121599998735, 
7, -4.313163446683009e-17, 3.255783782717482e-11, 0.00019857097279981565, 
8, 3.7470713866957543e-17, 1.209101189618702e-12, 6.724977593577578e-05, 
9, 3.3632493494922706e-17, 4.5315361212401694e-14, 2.2928871994059622e-05, 
10, -2.4212752628172558e-17, 1.7915833456694613e-15, 7.859764653992006e-06, 
11, 4.430294542981366e-17, 1.3087411953329879e-16, 2.706129943679578e-06, 
12, 2.200977850586606e-17, 5.327955771379221e-17, 9.351536520408439e-07, 
13, -3.435655065202865e-17, 1.7471383078490332e-16, 3.2416683163958173e-07, 
14, -1.591312890573307e-17, 9.694741685142255e-17, 1.126713935585161e-07, 
15, 4.465496793379674e-17, 1.0812804944615036e-16, 3.9252263079586515e-08, 
16, 6.928462417204276e-17, 1.3217483621944838e-16, 1.370240563421356e-08, 
17, -3.9984485519882236e-17, 1.4766177245030698e-16, 4.791892746446107e-09, 
18, 6.706367375414855e-17, 1.6772824161906272e-16, 1.6784547961305256e-09, 
19, 5.924538566785826e-17, 1.1278669100006748e-16, 5.887513352727584e-10, 
20, -2.7768004282169987e-17, 1.3230498591446247e-16, 2.0678171032659138e-10, 
21, -3.21469587042199e-17, 1.7747494107134793e-16, 7.271039705307143e-11, 
22, 5.74864007276657e-17, 1.285694347529752e-16, 2.5593760683481166e-11, 
23, -3.4210739731238635e-17, 1.6366494352131551e-16, 9.017226844878413e-12, 
24, 6.963119573944267e-17, 2.587463863443279e-16, 3.179537330851848e-12, 
25, 5.826175234383684e-17, 1.2433723785102865e-16, 1.1216917659958875e-12, 
26, -2.3279273868337795e-17, 2.7515802973118266e-16, 3.9569718005203225e-13, 
27, 1.4532627164322503e-17, 2.520567726516091e-16, 1.394633645572856e-13, 
