n,0.001,0.01,0.1
1, 0.0020004996659576113, 0.020049659504318806, 0.20458727394278242, 
2, 5.001330328306512e-06, 0.0005013028220883682, 0.05097789283933862, 
3, 1.300336090603137e-08, 1.3032317209471967e-05, 0.013172241678896489, 
4, 3.434174531037008e-11, 3.4413136284054284e-07, 0.0034552434664851753, 
5, 9.14194579063992e-14, 9.161424954891411e-09, 0.0009136821879277279, 
6, 2.512878727685442e-16, 2.4509078533458475e-10, 0.00024280274536281875, 
7, -2.9861726161172256e-17, 6.57785542014075e-12, 6.473531692709973e-05, 
8, 5.3198635905813497e-17, 1.7689978267710452e-13, 1.72998041871024e-05, 
9, 1.138702281248524e-17, 4.812836183141898e-15, 4.631163972502682e-06, 
10, -3.947818146029861e-17, 1.5483602584036e-16, 1.2414021748015377e-06, 
11, 3.3603261743482236e-17, -2.6047670266565134e-17, 3.3310847563292056e-07, 
12, -5.083966310328609e-17, 4.058278923849271e-17, 8.945841336880441e-08, 
13, 1.598332211346818e-17, 3.2910169160245957e-17, 2.4041039098254365e-08, 
14, 2.1496852169219847e-17, -3.790986380915588e-17, 6.46445198420862e-09, 
15, 2.026619156232868e-17, -5.961341975639362e-18, 1.739072537532811e-09, 
16, 1.05114934198282e-17, -4.060582743370643e-17, 4.680371462227096e-10, 
17, 5.335340783923524e-17, -2.2274065299487118e-17, 1.260072212014104e-10, 
18, 4.523236416613588e-17, -4.482598174703816e-17, 3.393460817962541e-11, 
19, -2.332781144554606e-17, -1.8661044583347315e-17, 9.141271568403353e-12, 
20, 5.228530705520832e-17, 4.2000866142047827e-17, 2.4629673397790607e-12, 
21, -2.8575066668350638e-18, 8.842314191081209e-18, 6.636859504174115e-13, 
22, 1.394701589952977e-17, -4.261745851506876e-17, 1.7889222987419047e-13, 
23, -2.0860537239632252e-17, -1.9115012469762676e-17, 4.818485230862709e-14, 
24, 4.631643683132831e-17, -3.7674226749010785e-17, 1.2711352901977892e-14, 
25, -3.873879038133458e-17, -1.5032889655054904e-17, 3.2964315558187417e-15, 
26, -4.93896967527283e-18, -2.7156254980495944e-17, 8.575835827921511e-16, 
27, -4.13858228457063e-17, 3.814652430535885e-18, 5.364436160661613e-17, 
28, -5.893294010104688e-18, -5.052069716037297e-17, -1.78095287844807e-16, 
29, 3.3317668362754054e-17, -8.160888386758552e-17, -2.0772174574520547e-16, 
30, 5.2780757938677886e-17, 4.670318117696337e-18, -3.3518399051057817e-16, 
31, -1.600591459209083e-17, -5.086563677048474e-17, -5.4337279745385007e-17, 
32, -3.805762620161105e-17, -8.597289517098766e-17, 3.006037451162156e-17, 
33, 6.919542840674263e-18, -7.2977740419761e-17, -1.5209555939603493e-16, 
34, 4.496772693356904e-17, -4.351086452516831e-17, -1.9592723891019484e-16, 
35, -5.973327148340395e-17, 3.505351881220689e-17, -2.2233914769040907e-16, 
36, 1.397691142055065e-17, -3.383279341645399e-17, -3.082633632647202e-16, 
37, -3.048160115513788e-17, 3.0035060324596774e-17, -4.0455032524777986e-16, 
38, 1.1363960077882313e-17, 2.2915938227838363e-17, -3.7338740335124586e-16, 
39, -3.9462686440943845e-17, 2.4237627133347472e-18, -3.2936524506413364e-16, 
40, 5.066520146180895e-17, -6.338603864309418e-17, -2.9704542306460373e-16, 
41, -4.36577558094137e-17, 3.6187727195820326e-19, -3.121384024137027e-16, 
42, -2.9672063294991576e-17, -3.626831502210011e-17, -2.35872920975436e-16, 
43, 6.72468531247659e-18, -6.285585489683736e-17, -2.6519821121499363e-16, 
44, -1.4406344066619264e-17, -9.882340985445956e-17, -1.8189152009802063e-16, 
45, -3.6060525144504994e-17, -8.60859389114093e-17, -3.1345787345847547e-16, 
46, -3.175035164345208e-17, -8.675698316023999e-18, -2.684698966868977e-16, 
47, 4.3436212751821295e-17, 7.303243416099235e-17, -3.3766219212433615e-16, 
48, 2.9950274710984933e-18, -1.1781730487429408e-16, -3.394120872619966e-16, 
49, 9.6618384328659e-18, 1.961478461304301e-17, -3.4935602718073763e-16, 
50, -8.113547604677268e-18, -6.630906726824245e-17, -3.6268759299825803e-16, 
51, 3.3315564249362526e-17, -1.4001980251726342e-16, -3.653897558663932e-16, 
52, -4.028561205845426e-18, 2.5405436275667243e-17, -4.009644508155557e-16, 
53, -1.7620168309883963e-17, -9.702584906422613e-17, -4.1312056067196064e-16, 
54, 4.551133189851365e-17, -5.868100988439252e-17, -3.5855984664111865e-16, 
55, 3.4402660705261066e-17, -1.0902125144897837e-16, -3.298217730212073e-16, 
56, -4.3278417208937196e-17, -1.323937257320198e-16, -4.944663350376394e-16, 
